manufacturer,device_type
"Jinmuyu Electronics Co., Ltd.",Unknown
Jinwoo Industrial system,Unknown
"Jireh Energy Tech., Ltd.",Unknown
"Jlztlink Industry(ShenZhen)Co.,Ltd.",Unknown
Joby Inc.,Unknown
"JoeScan, Inc.",Unknown
John Deere Electronic Solutions,Unknown
"Johnson Controls, Inc.",Unknown
Johnson Outdoors Marine Electronics d/b/a Minnkota,Unknown
"Join Digital, Inc.",Unknown
"Joint Stock Company ""Research Instinite ""Masshtab""",Unknown
Jollyboys Ltd,Unknown
Jones Futurex Inc.,Unknown
Jorjin Technologies Inc.,Unknown
Jotron Electronics A/S,Unknown
Joview(Beijing) Technology Co. Ltd.,Unknown
"Jovision Technology Co., Ltd.",IP Camera
Jow Tong Technology Co Ltd,Unknown
"Joyent, Inc.",Unknown
"Joyteck Co., Ltd.",Unknown
Juice Technology AG,Unknown
"JumpGen Systems, LLC",Unknown
Jumpnode Systems LLC.,Unknown
Jumptronic GmbH,Unknown
June Life Inc,Unknown
Jung Myoung Communications&Technology,Phone
"Jung Myung Telecom Co., Ltd.",Unknown
Junger Audio-Studiotechnik GmbH,Unknown
"Juni Korea Co., Ltd",Unknown
"Junilab, Inc.",Unknown
Juniper Networks,Router
Juniper Systems,Unknown
Juphoon System Software Inc.,Unknown
Jupiter Systems,Unknown
Jupiters Technology,Unknown
Jurong Hi-Tech (Suzhou)Co.ltd,Unknown
Jurumani Solutions,Unknown
Just Add Power,Unknown
"Just In Mobile Information Technologies (Shanghai) Co., Ltd.",Unknown
"JustEzy Technology, Inc.",Unknown
Justec International Technology INC.,Unknown
"Justone Technologies Co., Ltd.",Unknown
Juyoung Telecom,Unknown
Jäger Computergesteuerte Meßtechnik GmbH.,Unknown
K Tech Infosystem Inc.,Unknown
K Technology Corporation,Unknown
"K's Co.,Ltd.",Unknown
K-BOT COMMUNICATIONS,Phone
K-NET LTD.,Unknown
K-Patents Oy,Unknown
K-Tech Devices Corp.,Unknown
K-ubique ID Corp.,Unknown
K.A. Schmersal GmbH & Co. KG,Unknown
"K.J. LAW ENGINEERS, INC.",Unknown
K2E Tekpoint,Unknown
"K2NET Co.,Ltd.",Unknown
K40 Electronics,Unknown
KAEL MÜHENDİSLİK ELEKTRONİK TİCARET SANAYİ LİMİTED ŞİRKETİ,Unknown
KAESER KOMPRESSOREN AG,Unknown
"KAGA FEI Co., Ltd.",Unknown
KAIMEI ELECTRONI,Unknown
"KAISHUN ELECTRONIC TECHNOLOGY CO., LTD. BEIJING",Unknown
"KALPANA, INC.",Unknown
"KANDA TSUSHIN KOGYO CO., LTD.",Unknown
"KANSAI ELECTRIC CO., LTD.",Unknown
KAPADIA COMMUNICATIONS,Phone
KAPELSE,Unknown
KAPPA opto-electronics GmbH,Unknown
KAPSCH AG,Unknown
KARAM,Unknown
KARDIOS SYSTEMS CORP.,Unknown
KAREL INC.,Unknown
KASTEN CHASE APPLIED RESEARCH,Unknown
KATANA PRODUCTS,Unknown
KATHREIN TechnoTrend GmbH,Unknown
KATHREIN-WERKE KG,Unknown
KATRON COMPUTERS INC.,Unknown
"KATSUJIMA CO., LTD.",Unknown
"KAWASAKI HEAVY INDUSTRIES, LTD",Unknown
"KAWASAKI LSI U.S.A., INC.",Unknown
"KAYABA INDUSTRY Co,.Ltd.",Unknown
KB Electronics Ltd.,Unknown
KB/TEL TELECOMUNICACIONES,Unknown
KBC Networks,Unknown
KBS,Unknown
KBT Mobile,Unknown
KBVISION GROUP,IP Camera
"KC Technology, Inc.",Unknown
KCE,Unknown
"KCF Technologies, Inc.",Unknown
KCodes Corporation,Unknown
KDC Corp.,Unknown
KDD Media Will Corporation,Unknown
KDD-KOKUSAI DEBNSIN DENWA CO.,Unknown
KDDI Network & Solultions Inc.,Unknown
"KDE, Inc.",Unknown
"KDT Systems Co., Ltd.",Unknown
KE Knestel Elektronik GmbH,IoT Device
KEB Automation KG,Unknown
KEBA GmbH,Unknown
KEBA Industrial Automation Germany GmbH,Unknown
"KEEBOX, Inc.",Unknown
"KEISOKUKI CENTER CO.,LTD.",Unknown
KEITHLEY INSTRUMENTS,Unknown
KEMAS GmbH,Unknown
KENDALL SQUARE RESEARCH CORP.,Unknown
"KENDIN SEMICONDUCTOR, INC.",Unknown
KENSTEL NETWORKS LIMITED,Unknown
"KENTEK INFORMATION SYSTEMS,INC",Unknown
KENTKART EGE ELEKTRONIK SAN. VE TIC. LTD. STI.,Unknown
KENWIN INDUSTRIAL(HK) LTD.,Unknown
KEOPSYS,Unknown
"KERAJET, S.A.",Unknown
"KERBANGO, INC.",Unknown
KERLINK,Unknown
"KERNEL-I Co.,LTD",Unknown
KESTREL SOLUTIONS,Unknown
KETEK GmbH,Unknown
KETRON S.R.L.,Unknown
KEYCORP LTD.,Unknown
KID Systeme GmbH,Unknown
KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA,Unknown
"KIMIN Electronic Co., Ltd.",Unknown
KIMPSION INTERNATIONAL CORP.,Unknown
KIMTRON CORPORATION,Unknown
KINGENE Technology Corporation,Unknown
KINGJIM,Unknown
"KINGMAX TECHNOLOGY, INC.",Unknown
KINGSTAR TECHNOLOGY INC.,Unknown
KINGSTATE ELECTRONICS CORPORATION,Unknown
"KINGTEK CCTV ALLIANCE CO., LTD.",IP Camera
KINKEI SYSTEM CORPORATION,Unknown
KIRK telecom A/S,Unknown
KISAN ELECTRONICS CO,Unknown
KISAN SYSTEM,Unknown
"KISAN TELECOM CO., LTD.",Unknown
"KISS Teknical Solutions, Inc.",Unknown
KITA DENSHI CORPORATION,Unknown
KLA INSTRUMENTS CORPORATION,Unknown
KLEMSAN ELEKTRIK ELEKTRONIK SAN.VE TIC.AS.,Unknown
"KLEVER COMPUTERS, INC.",Unknown
KLG Smartec,Phone
KLINFO Corp,Unknown
"KM Electornic Technology Co., Ltd.",Unknown
"KMB systems, s.r.o.",Unknown
"KMC CHAIN INDUSTRIAL CO., LTD.",Unknown
KMC CONTROLS,Unknown
KMDATA INC.,Unknown
KMW Inc.,Unknown
"KN SOLTEC CO.,LTD.",Unknown
KNC One GmbH,Unknown
KNS Group LLC,Unknown
KNS Group LLC (YADRO Company),Unknown
KNX LTD.,Unknown
"KOANKEISO Co., Ltd.",Unknown
"KOBE STEEL, LTD.",Unknown
"KOBISHI ELECTRIC Co.,Ltd.",Unknown
KOCOM,Unknown
"KODAI HITEC CO., LTD.",Unknown
KODIAK TECHNOLOGY,Unknown
"KODICOM CO.,LTD.",Unknown
KOFAX IMAGE PRODUCTS,Unknown
KOGA ELECTRONICS CO.,Unknown
KOGANEI CORPORATION,Unknown
"KOITO ELECTRIC INDUSTRIES, LTD.",Unknown
KOKUSAI DENKI Electric Inc.,Unknown
KOKUSAI ELECTRIC CORPORATION,Unknown
"KOKUYO S&T Co., Ltd.",Unknown
KOMATSU LTD.,Unknown
KOMEG Industrielle Messtechnik GmbH,Unknown
"KONICA MINOLTA HOLDINGS, INC.",Unknown
KORATEK,Unknown
KOREA COMPUTER INC.,Unknown
"KOREA ELECTRIC TERMINAL CO., LTD.",Unknown
KOREA MAINTENANCE,Unknown
KORG INC.,Unknown
"KORWIN CO., Ltd.",Unknown
KOSTAL Industrie Elektrik GmbH,Unknown
KOTT,Unknown
KOUWELL ELECTRONICS CORP.  **,Unknown
KOVE,Unknown
KPN. B.V.,Unknown
KRG CORPORATE,Unknown
KRUPP ATLAS ELECTRONIK GMBH,Unknown
KRYPTON POLSKA,Unknown
KS System GmbH,Unknown
"KSH International Co., Ltd.",Unknown
KSIC,Unknown
KSP INC.,Unknown
KST technology,Unknown
KT TECHNOLOGY (S) PTE LTD,Unknown
"KT&C Co., Ltd.",Unknown
KTC AB,Unknown
KTF Technologies Inc.,Unknown
KTI,Unknown
"KTIS CO., Ltd",Unknown
KTNF,Unknown
KUBOTA CORPORATION ELECTRONIC,Unknown
KUBOTEK CORPORATION,Unknown
KUHN SA,Unknown
"KUK JE TONG SHIN Co.,LTD",Unknown
KUKA WELDING SYSTEMS & ROBOTS,Unknown
"KUME electric Co.,Ltd.",Unknown
"KUMHO ENG CO.,LTD",Unknown
KUNBUS GmbH,Unknown
"KUNIMI MEDIA DEVICE Co., Ltd.",Unknown
KUPSON spol. s r.o.,Unknown
"KURUSUGAWA Electronics Industry Inc,.",Unknown
"KUZUMI ELECTRONICS, INC.",Unknown
KVASER AB,Unknown
KVB/ANALECT,Unknown
"KVH Industries, Inc.",Unknown
"KWANG SUNG ELECTRONICS CO., LTD.",Unknown
"KWANG WOO I&C CO.,LTD",Unknown
"KWANGSUNG ELECTRONICS KOREA CO.,LTD.",Unknown
"KWANGWON TECH CO., LTD.",Unknown
KWB Gmbh,Unknown
"KWORLD COMPUTER CO., LTD",Unknown
KWS Computersysteme GmbH,Unknown
KYE Systems Corp.,Unknown
KYLAND Technology Co. LTD,Unknown
KYLINK Communications Corp.,Phone
KYOCERA CORPORATION,Phone
KYOCERA Corporation,Phone
KYOCERA Display Corporation,Phone
KYOCERA Document Solutions Inc.,Phone
"KYOEI SANGYO CO., LTD.",Unknown
"KYOHRITSU ELECTRONIC INDUSTRY CO., LTD.",Unknown
"KYOKKO ELECTRIC Co., Ltd.",Unknown
KYOLIS,Unknown
"KYOSAN ELECTRIC MFG. CO., LTD.",Unknown
KYOWA Electric & Machinery Corp.,Unknown
KYOWA Electronic Instruments C,Unknown
"KYUNGWOO.SYSTEM, INC.",Unknown
"KYUSHU TEN CO.,LTD",Unknown
"KZ Broadband Technologies, Ltd.",Unknown
Ka-Ro electronics GmbH,Unknown
KaVo Dental GmbH & Co. KG,Unknown
Kaba Benzing GmbH,Unknown
Kaco Solar Korea,Unknown
"Kaga Electronics Co., Ltd.",Unknown
Kai-EE,Unknown
Kaiam Corporation,Unknown
"Kaicom co., Ltd.",Unknown
"Kaise Electronic Technology Co., Ltd.",Unknown
Kakao Corp,Unknown
Kaleidescape,Unknown
Kalki Communication Technologies,Phone
Kamama,Unknown
Kameleon Technologies,Unknown
"Kaminario, Ltd.",Unknown
Kamo Technology Limited,Unknown
Kamstrup A/S,Unknown
KanEL Sweden AB,Unknown
"Kandao lightforge Co., Ltd.",Unknown
"Kanematsu Electronics, Ltd.",Unknown
KangSheng LTD.,Unknown
"Kanno Works, Ltd.",Unknown
"Kaon Group Co., Ltd.",Unknown
Kaparel Corporation,Unknown
Kapsys,Unknown
Karl Storz Imaging,Unknown
Kasda Networks Inc,Unknown
Kastle Systems,Unknown
Katch Asset Tracking Pty Limited,Unknown
Katena Computing Technologies,Unknown
Katoudenkikougyousyo co ltd,Unknown
Katun Corporation,Unknown
Kawasaki Microelectronics Incorporated,Unknown
Kayser-Threde GmbH,Unknown
Kaztek Systems,Phone
KeRo Systems ApS,Unknown
"Kedah Electronics Engineering, LLC",IoT Device
Keen High Holding(HK) Ltd.,Unknown
Keenetic Limited,Unknown
"Keheng Information Industry Co., Ltd.",Unknown
Kei Communication Technology Inc.,Phone
Keico Hightech Inc.,Unknown
"Keisoku Giken Co.,Ltd.",Unknown
Keisokugiken Corporation,Unknown
Keith & Koep GmbH,Unknown
"Keiyo System Research, Inc.",Unknown
Kellendonk Elektronik GmbH,Unknown
Kelman Limited,Unknown
Keltron IOT Corp.,Unknown
Kelvin Hughes Ltd,Unknown
Kelvin Inc.,Unknown
Kemper Digital GmbH,Unknown
Kempower Oyj,Unknown
Kemppi Oy,Unknown
"Kenade Electronics Technology Co.,LTD.",Unknown
"Kenetec, Inc.",Unknown
"Kenmec Mechanical Engineering Co., Ltd.",IoT Device
Kensington Computer Products Group,Unknown
Kentec Electronics,Unknown
Kentima Technologies AB,Unknown
"Kentrox, LLC",Unknown
Kenwood Corporation,Unknown
"Keri Systems, Inc",Unknown
Kessler Crane Inc.,Unknown
"Ketra, Inc.",Unknown
"Keumbee Electronics Co.,Ltd.",Unknown
"KeunYoung Electronics & Communication Co., Ltd.",Phone
"Kexiang Information Technology Co, Ltd.",Unknown
Key Digital Systems,Unknown
Key Radio Systems Limited,Unknown
"Key Stream Co., Ltd.",Unknown
"Key Technology, Inc.",Unknown
KeyEye Communications,Phone
KeyMed Ltd,Unknown
Keyence Corporation,Unknown
Keyprocessor B.V.,Unknown
"Keysight Technologies, Inc.",Unknown
Keystone Microtech Corporation,Unknown
Keytronix,Unknown
Khomp,Unknown
Khwahish Technologies Private Limited,Unknown
Kieback & Peter GmbH & Co KG,Unknown
Kihoku Electronic Co.,Unknown
Kiio Inc,Unknown
Kikusui Electronics Corp.,Unknown
Kilchherr Elektronik AG,Unknown
"Kimaldi Electronics, S.L.",Unknown
"Kimball Electronics Group, LLC",Unknown
"Kimoto Electric Co., Ltd.",Unknown
Kinco Automation(Shanghai) Ltd.,Unknown
"Kinestral Technologies, Inc.",IoT Device
Kinetek Sports,Unknown
Kinetic Avionics Limited,Unknown
Kinetic Technologies,Unknown
Kinetics,Unknown
Kinexon GmbH,Unknown
King Champion (Hong Kong) Limited,Unknown
"King Slide Technology CO., LTD.",Unknown
"King Tsushin Kogyo Co., LTD.",Unknown
King Young Technology Co. Ltd.,Unknown
KingTing Tech.,Unknown
Kinghold,Unknown
"Kingjon Digital Technology Co.,Ltd",Unknown
Kingnetic Pte Ltd,Unknown
"Kingsignal Technology Co., Ltd.",Unknown
Kingspan Environmental Ltd,Unknown
"Kingston Technology Company, Inc.",Unknown
Kingtel Telecommunication Corp.,Phone
Kingtronics Industrial Co. Ltd.,Unknown
"Kingwave Technology Co., Ltd.",Unknown
Kinion Technology Company Limited,Unknown
Kinova,Unknown
"Kinpo Electronics, Inc.",Unknown
Kioxia Corporation,Unknown
"Kira Information & Communications, Ltd.",Phone
Kirale Technologies SL,Unknown
"Kirana Networks, Inc.",Unknown
"Kirisun Communications Co., Ltd.",Phone
Kiryung Electronics,Unknown
"Kishu Giken Kogyou Company Ltd,.",Unknown
Kistler Instrumente AG,Unknown
KitWorks.fi Ltd.,Unknown
Kivic Inc.,Unknown
"Kivo Technology, Inc.",Unknown
Kiwibit Inc.,Unknown
"Kiyon, Inc.",Unknown
Klas Ltd,Unknown
Kleinhenz Elektronik GmbH,Unknown
"Kleinknecht GmbH, Ing. Büro",Unknown
"Klipsch Group, Inc.",Unknown
Klotz Digital AG,Unknown
Knapp Logistik Automation GmbH,Unknown
Knick Elektronische Messgeraete GmbH & Co. KG,Unknown
"Knilink Technology, Inc.",Unknown
Knorr-Bremse IT-Services GmbH,Unknown
"Knovative, Inc.",Unknown
Knowledge Development for POF S.L.,Unknown
Knürr GmbH,Unknown
KoCo Connector AG,Unknown
KoamTac,Unknown
"Koatsu Gas Kogyo Co., Ltd.",Unknown
Kobian Pte Ltd - Taiwan Branch,Unknown
"KodaCloud Canada, Inc",Unknown
"Koden Electronics Co., Ltd.",Unknown
Kodeos Communications,Phone
Kodofon JSC,Unknown
Koei Engineering Ltd.,IoT Device
Koenig & Bauer AG,Unknown
Kohler Co,Unknown
"Kohler Ventures, Inc.",Unknown
"Kohzu Precision Co., Ltd.",Unknown
"Koko Fitness, Inc.",Unknown
Kolektor group,Unknown
Kolff Computer Supplies b.v.,Unknown
Kollmorgen Corp,Unknown
Kollmorgen-Servotronix,Unknown
Komax AG,Unknown
Komodo Technology,Unknown
Konami Corporation,Unknown
Konami Gaming Inc,Unknown
Koncar Electronics and Informatics,Unknown
"Koncept International, Inc.",Unknown
Kone OYj,Unknown
Kong Yue Electronics & Information Industry (Xinhui) Ltd.,Unknown
"KongTop industrial(shen zhen)CO.,LTD",Unknown
Kongsberg Defence & Aerospace,Unknown
Kongsberg Seatex AS,Unknown
"Konka Group Co., Ltd.",Unknown
"KonnectONE, LLC",Unknown
Kontakt Micro-Location Sp z o.o.,Phone
Konten Networks Inc.,Unknown
Kontrolnext Technology (Beijing) Ltd.,Unknown
"Kontron (BeiJing) Technology Co.,Ltd",Unknown
"Kontron America, Inc.",Unknown
Kontron Asia Pacific Design Sdn. Bhd,Unknown
Kontron Electronics AG,Unknown
Kontron Europe GmbH,Unknown
Kontron Medical,Unknown
"Konze System Technology Co.,Ltd.",Unknown
"Koos Technical Services, Inc.",Unknown
"Korea CNO Tech Co., Ltd",Unknown
"Korea Computer Technology Co., Ltd.",Unknown
Korea Data Systems,Unknown
"Korea Electric Power Data Network  (KDN) Co., Ltd",Unknown
"Korea Image Technology Co., Ltd",Unknown
"Korea Infocom Co.,Ltd.",Unknown
Korea Network Systems,Unknown
Korins Inc.,Unknown
Koss Corporation,Unknown
Koubachi AG,Unknown
"Kowa Company, Ltd.",Unknown
"Kozio, Inc.",Unknown
Kozumi USA Corp.,Unknown
"Kprotech Co., Ltd.",Unknown
Kraftway Corporation PLC,Unknown
Kramer Electronics Ltd.,Unknown
Kratos EPD,Unknown
Krauss Maffei Technologies GmbH,Unknown
Kreatel Communications AB,Phone
Kriwan Industrie-Elektronik GmbH,Unknown
Krohne,Unknown
Kronback Tracers,Computer
Krüger &Gothe GmbH,Unknown
Ktech Telecommunications Inc,Phone
Kuang-chi Institute of Advanced Technology,Unknown
Kuipers Electronic Engineering BV,IoT Device
Kulite Semiconductor Products Inc,Unknown
"Kumahira Co., Ltd.",Unknown
"Kumalift Co., Ltd.",Unknown
Kumho Electric Inc.,Unknown
Kummler+Matter AG,Unknown
"Kumoh Electronic Co, Ltd",Unknown
Kumyoung.Co.Ltd,Unknown
"KunGao Micro (JiangSu) Co., LTd",Unknown
KunTeng Inc.,Unknown
"Kunshan Erlab ductless filtration system Co.,Ltd",Unknown
"Kunshan JADE Technologies co., Ltd.",Unknown
Kuokoa Networks,Unknown
Kurth Electronic GmbH,Unknown
Kurz Industrie-Elektronik GmbH,Unknown
"KwikByte, LLC",Unknown
Kwikset,Unknown
"Kyeungin CNS Co., Ltd.",Unknown
Kygo Life A,Unknown
Kyland-USA,Unknown
Kymeta Purchasing,Unknown
Kyocera Wireless Corp.,Phone
"Kyokko Tsushin System CO.,LTD",Unknown
"Kyoritsu Electric Co., Ltd.",Unknown
"Kyoto Electronics Manufacturing Co., Ltd.",IoT Device
"Kyoto Microcomputer Co., Ltd.",Unknown
Kyoto University,Unknown
"Kyowa Electronics Co.,Ltd.",Unknown
Kyuden Technosystems Corporation,Unknown
Kyung In Electronics,Unknown
"KyungDong One Co., Ltd.",Unknown
Kyushu Electronics Systems Inc.,Unknown
"Kyushu-kyohan co.,ltd",Unknown
Kyynel,Unknown
L&F Inc.,Unknown
L&N TECHNOLOGIES,Unknown
L-3 COMMUNICATIONS EAST,Phone
L-3 Communication Aviation Recorders,Phone
L-3 Communications Display Systems,Phone
L-3 Communications Geneva Aerospace,Phone
L-3 Communications Infrared Products,Phone
"L-3 Communications, Aviation Recorders",Phone
L-3 Linkabit,Unknown
L-3 Sonoma EO,Unknown
L-S-B Broadcast Technologies GmbH,Unknown
L-TECH CORPORATION,Unknown
L-tek d.o.o.,Unknown
"L.S.I. Japan Co., Ltd.",Unknown
L3 Communications - Telemetry West,Phone
LA CIE GROUP S.A.,Unknown
LA FRANCAISE DES JEUX,Unknown
LABORATORY EQUIPMENT CORP.,Unknown
LABRIS NETWORKS,Unknown
LABTAM LIMITED,Unknown
LABiTec - Labor Biomedical Technologies GmbH,Unknown
LACROIX TRAFFIC S.A.U,Unknown
LACROIX Trafic,Unknown
LAIIER,Unknown
LAM Technologies,Unknown
LAMPEX ELECTRONICS LIMITED,Unknown
LAN ACCESS CORP.,Unknown
"LAN Accessories Co., Ltd.",Unknown
LAN-TEC INC.,Unknown
LAN/MAN Standards Association (LMSC),Unknown
LANACCESS TELECOM S.A.,Unknown
LANART CORPORATION,Unknown
"LANBIRD TECHNOLOGY CO., LTD.",Unknown
"LANBit Computer, Inc.",Unknown
"LANCO, INC.",Unknown
LANCOM Systems GmbH,Unknown
"LAND COMPUTER CO., LTD.",Unknown
LANDINGS TECHNOLOGY CORP.,Unknown
LANDIS + GYR,Unknown
LANEX CORPORATION,Unknown
"LANNER ELECTRONICS, INC.",Unknown
"LANNET DATA COMMUNICATIONS,LTD",Phone
"LANOPTICS, LTD.",Unknown
"LANS TECHNOLOGY CO., LTD.",Unknown
LANVOICE,Unknown
LANWAN TECHNOLOGIES,Unknown
LANergy Ltd.,Unknown
"LAON TECHNOLOGY CO., LTD.",Unknown
LAP Laser Applikations,Unknown
"LAPIS TECHNOLOGIES, INC.",Unknown
"LARK Technologies, Inc",Unknown
LARS,Unknown
LARSCOM INCORPORATED,Unknown
LARsys-Automation GmbH,Unknown
LASERANIMATION SOLLINGER GMBH,Unknown
"LASERGRAPHICS, INC.",Unknown
"LASERMASTER TECHNOLOGIES, INC.",Unknown
LATECOERE,Unknown
"LAUREL BANK MACHINES CO., LTD.",Unknown
LAVA INTERNATIONAL(H.K) LIMITED,Phone
LBNL  Engineering,IoT Device
"LCFC(Hefei) Electronics Technology co., ltd",Unknown
LE INFORMATION COMMUNICATION INC.,Phone
LEA,Unknown
LEA Professional,Unknown
"LEA*D Corporation, Inc.",Unknown
"LEADER COMM.CO., LTD",Unknown
LEADER ELECTRONICS CORP.,Unknown
LEADTEK RESEARCH INC.,Unknown
"LEAP TECHNOLOGY, INC.",Unknown
LEAPS s.r.o.,Unknown
LEAR,Unknown
LEAX Arkivator Telecom,Unknown
LECTRA SYSTEMES SA,Unknown
LED Roadway Lighting,Unknown
LEDVANCE,Unknown
"LEEDARSON LIGHTING CO., LTD.",Unknown
LEEDS & NORTHRUP AUSTRALIA PTY LTD,Unknown
LEETEK,Unknown
LEGIC Identsystems AG,Unknown
LEGO System A/S,Unknown
LEGO System A/S IE Electronics Division,IP Camera
LEGRAND,Unknown
"LEICHU ENTERPRISE CO., LTD.",Unknown
LEIFHEIT AG,Unknown
"LEIGHTRONIX, INC.",Unknown
"LEMCOM SYSTEMS, INC.",Unknown
LENECO,Unknown
"LENOVO(BEIJING)CO., LTD.",Phone
"LENUS Co., Ltd.",Unknown
LEO Innovation Lab,Unknown
LEROY AUTOMATION,Unknown
LET'S Corporation,Unknown
LETEK Communications Inc.,Phone
LEUNIG GmbH,Unknown
LEVEL s.r.o.,Unknown
"LEX COMPUTECH CO., LTD",Unknown
"LEXAR CO.,LIMITED",Unknown
"LEXMARK INTERNATIONAL, INC.",Unknown
LG CNS,Phone
LG Chem,Phone
LG Display,Phone
LG ELECTRONICS,Phone
LG ELECTRONICS INC,Phone
LG Electornics,Phone
LG Electronics,Phone
LG Electronics (Mobile Communications),Phone
LG Electronics NV,Phone
LG INFORMATION & COMM.,Phone
LG INTERNATIONAL CORP.,Phone
LG Innotek,Phone
"LG-Ericsson Co.,Ltd.",Phone
LGE,Phone
"LGS Innovations, LLC",Phone
LHP Telematics LLC,Computer
LI-COR Biosciences,Unknown
LIBA Maschinenfabrik GmbH,Unknown
LIBERTY ELECTRONICS,Unknown
LIBERTY TECHNOLOGY NETWORKING,Unknown
LIDKOPING MACHINE TOOLS AB,Unknown
LIFI LABS MANAGEMENT PTY LTD,Unknown
LIG NEOPTEK,Unknown
"LIGHTERA NETWORKS, INC.",Unknown
LIGHTNING INSTRUMENTATION,Unknown
LIGHTRON FIBER-OPTIC DEVICES INC.,Unknown
LIGHTSPEED INTERNATIONAL CO.,Unknown
"LIGHTWAVE COMMUNICATIONS, INC.",Phone
LIMETEK,Unknown
"LIMNO Co., Ltd.",Unknown
LINDSAY BROADBAND INC,Unknown
LINE BIZ Plus,Unknown
LINEAR LLC,Unknown
"LINEEYE CO., LTD",Unknown
"LINK2IT, L.L.C.",Unknown
LINKCOM,Unknown
LINKUP SYSTEMS CORPORATION,Unknown
LINOTYPE-HELL AG,Unknown
LINQ SYSTEMS,Unknown
"LINX Data Terminals, Inc.",Unknown
LIONS Taiwan Technology Inc.,Unknown
LIOS Technology GmbH,Unknown
LIPPERT AUTOMATIONSTECHNIK,Unknown
LITE-ON CLEAN ENERGY TECHNOLOGY CORP.,Unknown
"LITE-ON COMMUNICATIONS, INC.",Phone
"LITE-ON Communications, Inc.",Phone
LITE-ON IT Corporation,Unknown
LITE-ON Technology Corp.,Unknown
LITTLE MACHINES INC.,Unknown
"LITTON SYSTEMS, INC.",Unknown
LITTON/POLY-SCIENTIFIC,Unknown
"LIVINGSTON ENTERPRISES, INC.",Unknown
LIZN ApS,Unknown
LInTech Corporation,Unknown
LJU Automatisierungstechnik GmbH,Unknown
"LLC ""Elektra""",Unknown
"LLC ""NTC Rotek""",Unknown
LLC Emzior,Unknown
"LLC Proizvodstvennaya Kompania ""TransService""",Unknown
LM Technologies Ltd,Unknown
LMI Technologies,Unknown
LMS Skalar Instruments GmbH,Unknown
LN Srithai Comm Ltd.,Unknown
"LNC Technology Co., Ltd.",Unknown
LNT-Automation GmbH,Unknown
LOCAMATION B.V.,Unknown
LOCKHEED - SANDERS,Unknown
LOCOSYS Technology Inc.,Unknown
LOCUS COMPUTING CORPORATION,Unknown
LOENK,Unknown
LOGIBAG,Unknown
LOGIC CORPORATION,Unknown
LOGIC MODELING CORPORATION,Unknown
LOGIC REPLACEMENT TECH. LTD.,Unknown
"LOGICAL DESIGN GROUP, INC.",Unknown
LOGICOM SA,Unknown
"LOGICRAFT, INC.",Unknown
LOGIPLUS,Unknown
LOGISTISTEM s.r.l.,Unknown
LOGWARE GmbH,Unknown
LOHUIS Networks,Unknown
"LONG BEN (DONGGUAN) ELECTRONIC TECHNOLOGY CO.,LTD.",Unknown
LONG WELL ELECTRONICS CORP.,Unknown
LONGCHEER TELECOMMUNICATION LIMITED,Phone
"LONGCONN ELECTRONICS(SHENZHEN) CO.,LTD",Unknown
LOOK EASY INTERNATIONAL LIMITED,Unknown
"LOOP TELECOMMUNICATION INTERNATIONAL, INC.",Phone
LORD Corporation,Unknown
LOYTEC electronics GmbH,Unknown
LPL  DEVELOPMENT S.A. DE C.V,Unknown
LRE Medical GmbH,Unknown
LS Cable and System Ltd.,Unknown
LS Mecapion,Unknown
"LS(LG) Industrial Systems co.,Ltd",Phone
"LSD Science and Technology Co.,Ltd.",Unknown
LSI LOGIC CORPORATION,Unknown
"LSI Systems, Inc.",Unknown
LSICS CORPORATION,Unknown
"LSY Defense, LLC.",Unknown
LT SECURITY INC,IP Camera
"LTI Motion (Shanghai) Co., Ltd.",Unknown
LTX-Credence CORPORATION,Unknown
LTi REEnergy GmbH,Unknown
LUCENT TECHNOLOGIES,Unknown
"LUCENT TECHNOLOGIES TAIWAN TELECOMMUNICATIONS CO., LTD.",Phone
"LUCENT TRANS ELECTRONICS CO.,LTD",Unknown
LUCIDATA LTD.,Unknown
LUCKY TECHNOLOGY (HK) COMPANY LIMITED,Unknown
LUMINEX Lighting Control Equipment,Unknown
"LUXCOM, INC.",Unknown
LUXOTTICA GROUP S.P.A.,Unknown
LV SOLUTION SDN. BHD.,Unknown
"LVL 7 Systems, Inc.",Unknown
"LVS Co.,Ltd.",Unknown
LVSWITCHES INC.,Unknown
LVX Western,Unknown
LXCO Technologies ag,Unknown
LXE,Unknown
LXI Consortium,Unknown
LXinstruments GmbH,Unknown
LYLINK LIMITED,Unknown
LYNK,Unknown
"LYNX SYSTEM DEVELOPERS, INC.",Unknown
La Crosse Technology LTD,Unknown
LaVision GmbH,IP Camera
Lab33 Srl,Unknown
LabJack,Unknown
Labor S.r.L.,Unknown
Lacroix,Unknown
Laerdal Medical,Unknown
Lafon,Unknown
Lagotek Corporation,Unknown
"Laguna Hills, Inc.",Unknown
Laird Connectivity,Unknown
Laird Technologies,Unknown
Lake Communications,Phone
Laketune Technologies Co. Ltd,Unknown
"Lamprey Networks, Inc.",Unknown
Lampuga GmbH,Unknown
"Lampus Co, Ltd.",Unknown
LanPro Inc,Unknown
LanReady Technologies Inc.,Unknown
Lanbowan Technology Ltd.,Unknown
Lancelan Technologies S.L.,Unknown
Land-Cellular Corporation,Unknown
"Landauer, Inc.",Unknown
